Text,Summary
تعتبر السياحة احدي الركائز المهمة لاقتصاد بلد والشاهد الأكبر ثقافته وحضارته وتاريخه فالسياحة تعتبر سفير الدول جميعها تمثل كتابا مفتوحا الزائرين يأتون البلد ليقرأوا صفحات التاريخ والحضارة وكلما حجم السياحة بلد أكبر كلما دل عمق حضارته الماضية والحاضرة أيضا ففي كثير بلاد العالم تعد السياحة بمثابة النفط يدر الربح الكبير تشهد الحركة السياحية العالم انفتاحا كبيرا وتنافسا عميقا التسويق السياحي وأصبحت الحكومات تضع خططا استراتيجية لابراز معالم دولها واظهار أجمل وعرضه للسائحين,toursim
تتوقف متعة السياحة الاطلاع تاريخ الأمم السابقة وانما يتمثل جمالها الاستمتاع بالطبيعة الساحرة أنهار وبحار وجبال وسهول وصحاري ميز الله تعالي الكثير مناطق العالم بطبيعة ساحرة تسلب الألباب فأضحت مزارا لملايين السياح العالم,toursim
تحتاج السياحة الكثير الاهتمام بالمرافق السياحية ومنحها العناية والرعاية الدائمة والاهتمام براحة القادمين وتعريف السواح بأهمية المكان قدموا لزيارته خصوصا المكان اثارا تاريخية يتم نقل صورة راقية وجميلة البلد يجب يعامل السياح لطف وكرم لأنهم ضيوف وللضيف حق كرم الضيافة,toursim
تنقسم السياحة الهدف أربعة أنواع وهم,toursim
السياحة الترفيهية  تشمل زيارة الأماكن الساحلية والترفيهية بهدف قضاء وقت ممتع وممارسة الهوايات والأنشطة المختلفة الصيد والغوص والسفاري وغيرها الأنشطة,toursim
السياحة العلاجية زيارة أماكن معينة بغرض الاستشفاء والعلاج أمراض معينة ينابيع المياة الكبريتية والمعدنية,toursim
السياحة الدينية زيارة الأماكن الدينية المختلفة بهدف التبرك وممارسة الشعائر والعقائد الدينية المختلفة,toursim
السياحة الثقافية زيارة الأماكن التاريخية والأثرية المختلفة كالمتاحف والمعابد الأثرية المختلفة بهدف دراسة حضارتها والتعرف أسرارها اضافة اكتساب المعارف المعلومات حولها,toursim
وتنقسم السياحة الموقع الجغرافي,toursim
سياحة داخلية تتم داخل حدود الدولة ويكون القصد الترفيه العمل,toursim
سياحة اقليمية انتقال الفرد خارج حدود دولته الدول المجاورة والقريبة ويتم أكثر وسيلة للنقل,toursim
